"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","den_type"
"1","Infrastructure_Density",367.825125337847,1029.59095508667,0.357253648665634,0.720902822905772,-1650.16511208795,2385.81536276364,"aden_museums"
"2","Infrastructure_Density",-7633.88423477835,1673.50669938318,-4.56160960550206,5.08345230836857e-06,-10913.9443061468,-4353.82416340987,"aden_theatricalproductions"
"3","Infrastructure_Density",30093.5466018338,9774.95851801587,3.07863675803528,0.00208017002103619,10934.7041866557,49252.3890170118,"aden_amusementparks"
"4","Infrastructure_Density",9818.61787101257,4434.25742192048,2.21426429202663,0.0268132751243927,1127.50792734066,18509.7278146845,"aden_movietheaters"
"5","Infrastructure_Density",-6846.65944585083,9891.28235407969,-0.692191285291427,0.488819122075539,-26233.4956719661,12540.1767802645,"aden_zoosaquariumsgardens"
"6","Infrastructure_Density",44834.7394615073,18298.7220127966,2.45015687052646,0.0142814221424028,8969.38711283249,80700.0918101821,"aden_bingocardsgambling"
"7","Infrastructure_Density",-2962.8153387193,9150.30025285348,-0.323794329895936,0.746094554503828,-20897.3324287794,14971.7017513408,"aden_poolhallsbowlingalleys"
"8","Infrastructure_Density",4184.7652624337,537.881525828108,7.78008736401747,7.32940360113196e-15,3130.52166923756,5239.00885562984,"aden_hotels"
"9","Infrastructure_Density",108170.852311464,20159.7692144967,5.36567909883014,8.08577992089233e-08,68657.8619703759,147683.842652553,"aden_casinohotels"
"10","Infrastructure_Density",-387.39526196106,611.490501433118,-0.633526213494965,0.526391791335934,-1585.91187292601,811.121349003886,"aden_totartsentertainment"
